Symbol,Name,Market Cap,Last Sale,Net Change,Percentage Change
MSFT,Microsoft Corporation Common Stock,"3,244,173,052,204",436.425,$5.225,+1.21%
MU,"Micron Technology, Inc. Common Stock","110,996,229,895",100.2521,$0.4121,+0.41%
NFLX,"Netflix, Inc. Common Stock","388,315,774,501",908.49,$6.32,+0.70%
NVDA,NVIDIA Corporation Common Stock,"3,470,722,800,000",141.9103,$1.6503,+1.18%
NXPI,NXP Semiconductors N.V. Common Stock,"57,446,785,747",225.935,$2.425,-1.06%
ODFL,"Old Dominion Freight Line, Inc. Common Stock","46,085,578,121",215.2,$3.13,-1.43%
ON,ON Semiconductor Corporation Common Stock,"28,530,897,971",68.06,$1.75,-2.51%
ORLY,"O'Reilly Automotive, Inc. Common Stock","71,828,239,577",1244.67,$3.32,-0.27%
PANW,"Palo Alto Networks, Inc. Common Stock","131,367,105,940",400.3874,$7.7974,+1.99%
PAYX,"Paychex, Inc. Common Stock","51,989,068,624",144.15,$0.34,-0.24%
PCAR,PACCAR Inc. Common Stock,"61,537,156,023",117.37,$0.52,+0.45%
PDD,PDD Holdings Inc. American Depositary Shares,"133,899,939,631",97.3,$1.15,-1.17%
PEP,"PepsiCo, Inc. Common Stock","219,120,367,183",159.71,$1.99,-1.23%
PYPL,"PayPal Holdings, Inc. Common Stock","86,055,927,918",85.29,$0.15,+0.18%
QCOM,QUALCOMM Incorporated Common Stock,"181,448,520,000",163.3458,$0.7658,+0.47%
REGN,"Regeneron Pharmaceuticals, Inc. Common Stock","82,087,479,657",747.05,$2.52,-0.34%
ROP,"Roper Technologies, Inc. Common Stock","61,064,320,766",569.61,$2.75,+0.49%
ROST,"Ross Stores, Inc. Common Stock","51,300,435,994",155.26,$1.54,+1.00%
SBUX,Starbucks Corporation Common Stock,"114,014,928,000",100.55,$1.02,-1.00%
SMCI,"Super Micro Computer, Inc. Common Stock","23,727,104,740",40.48,$0.27,+0.67%
SNPS,"Synopsys, Inc. Common Stock","89,178,922,942",580.54,$10.35,+1.82%
TEAM,Atlassian Corporation Class A Common Stock,"72,686,954,963",281.52,$13.16,+4.90%
TMUS,"T-Mobile US, Inc. Common Stock","282,694,547,453",243.575,$1.275,-0.52%
TSLA,"Tesla, Inc. Common Stock","1,126,410,255,349",351.08,$0.34,-0.10%
TTD,"The Trade Desk, Inc. Class A Common Stock","69,179,319,646",140.15,$0.99,+0.71%
TTWO,"Take-Two Interactive Software, Inc. Common Stock","32,952,967,373",187.63,$0.43,-0.23%
TXN,Texas Instruments Incorporated Common Stock,"179,592,645,881",196.9,$0.33,-0.17%
VRSK,"Verisk Analytics, Inc. Common Stock","41,048,519,197",291.18,$2.13,+0.74%
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,"117,396,014,493",454.93,$2.04,-0.45%
WBD,"Warner Bros. Discovery, Inc. Series A Common Stock","25,942,220,901",10.57,$0.02,+0.19%
WDAY,"Workday, Inc. Class A Common Stock","70,756,325,000",266.17,$9.11,+3.54%
XEL,Xcel Energy Inc. Common Stock,"40,730,966,973",70.69,$0.31,-0.44%
ZS,"Zscaler, Inc. Common Stock","30,574,246,003",200.415,$1.775,+0.89%
